Date,Description,Out,In,Flag1,Flag2,Kaveh,Negar,Card
01-04-2025,"NESTERS MARKET 4555 VANCOUVER, BC",3.99,,grocery,,0.5,0.5,Kaveh_Credit
01-04-2025,"NESTERS MARKET 4555 VANCOUVER, BC",9.22,,grocery,,0.5,0.5,Kaveh_Credit
01-04-2025,"WEALTHSIMPLE TAX TORONTO, ON",89.6,,personal_expenses,tax return,1,0,Kaveh_Credit
02-04-2025,"NESTERS MARKET 4555 VANCOUVER, BC",3.99,,grocery,,0.5,0.5,Kaveh_Credit
02-04-2025,GOOGLE*CLOUD JC87DT CC GOOGLE.COM .01 EUR @ 2.000000,0.02,,personal_expenses,,1,0,Kaveh_Credit
